Store,Category,SalesP,Conversion,StarP,Eficiencia,group,month
Mall Parque Arauco,SalesPBueno,21455,16.07,14.30,9.00,high,Junio
Mall Parque Arauco,ConversionBueno,21455,16.07,14.30,9.00,high,Junio
Mall Parque Arauco,StarRegular,21455,16.07,14.30,9.00,medium,Junio
Mall Parque Arauco,EficienciaRegular,21455,16.07,14.30,9.00,medium,Junio
Mall Parque Arauco,SalesPBueno,17400,15.03,11.62,7.00,high,Julio
Mall Parque Arauco,ConversionRegular,17400,15.03,11.62,7.00,medium,Julio
Mall Parque Arauco,StarMalo,17400,15.03,11.62,7.00,low,Julio
Mall Parque Arauco,EficienciaBueno,17400,15.03,11.62,7.00,high,Julio
Mall Parque Arauco,SalesPBueno,22607,18.49,19.63,9.00,high,Agosto
Mall Parque Arauco,ConversionBueno,22607,18.49,19.63,9.00,high,Agosto
Mall Parque Arauco,StarRegular,22607,18.49,19.63,9.00,medium,Agosto
Mall Parque Arauco,EficienciaRegular,22607,18.49,19.63,9.00,medium,Agosto
Mall Parque Arauco,SalesPBueno,23252,20.03,18.28,10.00,high,Septiembre
Mall Parque Arauco,ConversionBueno,23252,20.03,18.28,10.00,high,Septiembre
Mall Parque Arauco,StarRegular,23252,20.03,18.28,10.00,medium,Septiembre
Mall Parque Arauco,EficienciaRegular,23252,20.03,18.28,10.00,medium,Septiembre
Mall Parque Arauco,SalesPBueno,21815,17.08,18.11,8.00,high,Octubre
Mall Parque Arauco,ConversionBueno,21815,17.08,18.11,8.00,high,Octubre
Mall Parque Arauco,StarRegular,21815,17.08,18.11,8.00,medium,Octubre
Mall Parque Arauco,EficienciaBueno,21815,17.08,18.11,8.00,high,Octubre
Mall Marina Arauco,SalesPBueno,19766,17.56,25.51,15.00,high,Junio
Mall Marina Arauco,ConversionBueno,19766,17.56,25.51,15.00,high,Junio
Mall Marina Arauco,StarBueno,19766,17.56,25.51,15.00,high,Junio
Mall Marina Arauco,EficienciaRegular,19766,17.56,25.51,15.00,medium,Junio
Mall Marina Arauco,SalesPBueno,25794,20.91,24.23,9.00,high,Julio
Mall Marina Arauco,ConversionBueno,25794,20.91,24.23,9.00,high,Julio
Mall Marina Arauco,StarBueno,25794,20.91,24.23,9.00,high,Julio
Mall Marina Arauco,EficienciaRegular,25794,20.91,24.23,9.00,medium,Julio
Mall Marina Arauco,SalesPBueno,17383,15.55,15.70,12.00,high,Agosto
Mall Marina Arauco,ConversionRegular,17383,15.55,15.70,12.00,medium,Agosto
Mall Marina Arauco,StarRegular,17383,15.55,15.70,12.00,medium,Agosto
Mall Marina Arauco,EficienciaRegular,17383,15.55,15.70,12.00,medium,Agosto
Mall Marina Arauco,SalesPRegular,15681,15.53,15.18,11.00,medium,Septiembre
Mall Marina Arauco,ConversionRegular,15681,15.53,15.18,11.00,medium,Septiembre
Mall Marina Arauco,StarRegular,15681,15.53,15.18,11.00,medium,Septiembre
Mall Marina Arauco,EficienciaRegular,15681,15.53,15.18,11.00,medium,Septiembre
Mall Marina Arauco,SalesPRegular,14214,12.55,12.08,9.00,medium,Octubre
Mall Marina Arauco,ConversionRegular,14214,12.55,12.08,9.00,medium,Octubre
Mall Marina Arauco,StarMalo,14214,12.55,12.08,9.00,low,Octubre
Mall Marina Arauco,EficienciaRegular,14214,12.55,12.08,9.00,medium,Octubre
Mall Rancagua,SalesPRegular,7568,10.84,14.13,15.00,medium,Junio
Mall Rancagua,ConversionRegular,7568,10.84,14.13,15.00,medium,Junio
Mall Rancagua,StarRegular,7568,10.84,14.13,15.00,medium,Junio
Mall Rancagua,EficienciaRegular,7568,10.84,14.13,15.00,medium,Junio
Mall Rancagua,SalesPRegular,7998,9.91,12.82,8.00,medium,Julio
Mall Rancagua,ConversionMalo,7998,9.91,12.82,8.00,low,Julio
Mall Rancagua,StarRegular,7998,9.91,12.82,8.00,medium,Julio
Mall Rancagua,EficienciaBueno,7998,9.91,12.82,8.00,high,Julio
Mall Rancagua,SalesPRegular,8474,11.03,15.23,12.00,medium,Agosto
Mall Rancagua,ConversionRegular,8474,11.03,15.23,12.00,medium,Agosto
Mall Rancagua,StarRegular,8474,11.03,15.23,12.00,medium,Agosto
Mall Rancagua,EficienciaRegular,8474,11.03,15.23,12.00,medium,Agosto
Mall Rancagua,SalesPRegular,7906,11.86,12.37,11.00,medium,Septiembre
Mall Rancagua,ConversionRegular,7906,11.86,12.37,11.00,medium,Septiembre
Mall Rancagua,StarMalo,7906,11.86,12.37,11.00,low,Septiembre
Mall Rancagua,EficienciaRegular,7906,11.86,12.37,11.00,medium,Septiembre
Mall Rancagua,SalesPRegular,8913,12.31,12.42,11.00,medium,Octubre
Mall Rancagua,ConversionRegular,8913,12.31,12.42,11.00,medium,Octubre
Mall Rancagua,StarMalo,8913,12.31,12.42,11.00,low,Octubre
Mall Rancagua,EficienciaRegular,8913,12.31,12.42,11.00,medium,Octubre
Jumbo Rancagua,SalesPRegular,16978,16.22,25.66,19.00,medium,Junio
Jumbo Rancagua,ConversionBueno,16978,16.22,25.66,19.00,high,Junio
Jumbo Rancagua,StarBueno,16978,16.22,25.66,19.00,high,Junio
Jumbo Rancagua,EficienciaRegular,16978,16.22,25.66,19.00,medium,Junio
Jumbo Rancagua,SalesPRegular,16333,14.94,21.07,11.00,medium,Julio
Jumbo Rancagua,ConversionRegular,16333,14.94,21.07,11.00,medium,Julio
Jumbo Rancagua,StarBueno,16333,14.94,21.07,11.00,high,Julio
Jumbo Rancagua,EficienciaRegular,16333,14.94,21.07,11.00,medium,Julio
Jumbo Rancagua,SalesPBueno,18957,18.09,26.17,13.00,high,Agosto
Jumbo Rancagua,ConversionBueno,18957,18.09,26.17,13.00,high,Agosto
Jumbo Rancagua,StarBueno,18957,18.09,26.17,13.00,high,Agosto
Jumbo Rancagua,EficienciaRegular,18957,18.09,26.17,13.00,medium,Agosto
Jumbo Rancagua,SalesPBueno,18591,19.08,21.77,13.00,high,Septiembre
Jumbo Rancagua,ConversionBueno,18591,19.08,21.77,13.00,high,Septiembre
Jumbo Rancagua,StarBueno,18591,19.08,21.77,13.00,high,Septiembre
Jumbo Rancagua,EficienciaRegular,18591,19.08,21.77,13.00,medium,Septiembre
Jumbo Rancagua,SalesPRegular,14524,15.55,23.86,15.00,medium,Octubre
Jumbo Rancagua,ConversionRegular,14524,15.55,23.86,15.00,medium,Octubre
Jumbo Rancagua,StarBueno,14524,15.55,23.86,15.00,high,Octubre
Jumbo Rancagua,EficienciaRegular,14524,15.55,23.86,15.00,medium,Octubre
Mall Plaza La Serena,SalesPRegular,10338,10.43,11.90,19.00,medium,Junio
Mall Plaza La Serena,ConversionMalo,10338,10.43,11.90,19.00,low,Junio
Mall Plaza La Serena,StarMalo,10338,10.43,11.90,19.00,low,Junio
Mall Plaza La Serena,EficienciaRegular,10338,10.43,11.90,19.00,medium,Junio
Mall Plaza La Serena,SalesPRegular,11609,11.81,12.22,10.00,medium,Julio
Mall Plaza La Serena,ConversionRegular,11609,11.81,12.22,10.00,medium,Julio
